feature,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
arp.hw.size,0.025698874,0.0,0.0023826896,0.0,0.0037040154,0.012857819,0.0,0.0,0.00039694103,0.048318706,0.0066684117,7.17514e-05,0.00010326036,0.0005217891,0.00045869616
arp.opcode,0.06890894,0.0,0.015455613,0.0,0.02453637,0.07411319,0.0,0.0,0.0010090198,0.089012526,0.05844224,5.8258665e-05,0.0012017896,0.005318699,0.001211951
dns.qry.name,0.00087988935,0.0,0.24944662,0.0,0.5310261,0.0013136789,0.0,0.0,0.0,0.0,0.0031053054,0.0,0.0,0.0,0.0
dns.qry.name.len,0.0,0.0,0.0,0.0,0.0019381585,0.0,0.038475767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dns.qry.qu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dns.retransmission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dns.retransmit_request,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http.content_length,0.0,0.015500414,0.0,0.0,0.0,0.0,0.0,0.0,0.021310056,0.0,0.0,0.0,0.0,0.87614244,0.004414706
http.referer,0.0,2.743278,0.0,0.0,0.0,0.0,0.0061900853,0.0,0.74664384,0.0,0.0,0.89899045,0.8637903,2.8333032,2.8825912
http.request.method,0.2467127,0.045082744,9.957292e-05,1.0675102,0.0,0.044075485,0.41647977,0.014244999,1.042829,0.1264911,0.17143416,1.3636245,1.3446969,0.10561685,0.08852473
http.request.version,0.5473854,0.012627045,0.00638191,0.69700813,0.16992939,0.093264654,0.6980137,0.030406957,0.8571139,0.39884984,0.73140144,0.32250187,0.37294263,0.021874903,0.01377953
http.response,0.0,0.00086740847,0.0,0.0,0.0,0.0,0.0,0.0,0.0010861842,0.0,0.0,9.673996e-05,0.0,0.006663641,5.7345445e-05
icmp.checksum,0.036814015,0.0,2.5381813,0.0,0.043052845,1.2872553,0.0,0.0,0.0,0.07800003,0.060179144,0.0,0.0,0.0,0.0
icmp.seq_le,0.045041062,0.0,4.3437734,0.0,0.11599722,1.041068,0.0,0.0,0.0,0.1247298,0.08232446,0.0,0.0,0.0,0.0
icmp.transmit_timestamp,0.0,0.0,0.0012177085,0.0,0.0,0.13509738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt.conack.flags,0.14717491,0.0,0.00013183079,0.014420047,4.9644445e-05,0.011508982,0.0,6.1510224,0.0,0.030352585,0.023456868,0.0,0.0,0.0,0.0
mqtt.conflag.cleansess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt.conflags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt.hdrflags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008365007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt.len,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt.msgtype,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt.proto_len,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt.protoname,0.03800219,0.0,0.0,0.0006656585,0.0,7.31996e-05,0.0,1.3991107,0.0,0.009183545,0.019173687,0.0,0.0,0.0,0.0
mqtt.topic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2097417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt.topic_len,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt.ver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tcp.ack,0.15894294,0.4445858,0.0,4.7133956,0.0,0.049337033,0.09704517,0.0,0.7269898,1.8859845,0.46498382,1.864634,1.1510409,1.272711,0.9199729
tcp.ack_raw,1.0806136,0.1224849,0.0,0.44213882,0.0,0.020387674,0.029118005,0.0038974448,0.095377855,0.19154398,0.0972207,0.16813205,0.19503833,0.17462954,0.23867935
tcp.checksum,0.0056338734,0.19570862,0.0,0.03544373,0.04282119,0.0052735833,0.04579847,0.02779675,0.1569139,0.11749328,0.020187909,0.14464526,0.22097814,0.27864856,0.20294932
tcp.connection.fin,0.0,0.018133739,0.0,0.0,0.0,0.0,0.0,0.0,0.14737436,0.0,0.0,0.044669043,0.08689328,0.037965894,0.004478286
tcp.connection.rst,0.011776214,0.0025706058,0.0,0.56702685,0.0,0.036070887,0.0,0.0,0.024325177,0.71754557,0.08573982,0.019655766,0.08989854,0.0010592743,0.02657432
tcp.connection.syn,0.022982087,0.08881619,0.0,0.41493398,0.0,0.06251276,0.0,0.0,0.0071787084,0.8383731,0.004949176,0.018437449,0.025982313,0.10664354,0.15637918
tcp.connection.synack,0.0,0.008122073,0.0,0.0,0.0,0.0,0.0,0.0,0.011819179,0.0,0.0,0.079684526,0.103055455,0.008468798,0.014185813
tcp.dstport,3.0321426,0.41825485,0.043234225,0.10647825,0.26659858,0.96724397,0.2638277,0.24093741,0.43622532,1.0339166,2.9709272,0.58827347,1.4567668,1.338291,0.6448955
tcp.flags,0.029059216,0.52599585,0.020748341,0.56772894,0.8339925,0.1665567,0.35363945,0.0,0.0705046,0.23403072,0.110656634,0.03145308,0.04487528,0.1176287,0.074686125
tcp.flags.ack,0.0,0.0,0.0,0.0055156313,0.0,0.002300108,0.0,0.0,0.0028170636,0.00836156,0.01621025,0.015003535,0.006515133,0.0,0.0065721627
tcp.len,0.084272936,0.15106219,0.0,1.531663,0.0004161536,0.0005730661,6.841783,0.0,0.0070897657,0.38873336,0.8224965,0.13281967,0.036694914,0.10777638,0.06661791
tcp.seq,0.37293267,0.35868397,0.0,0.11922095,0.0,0.0017749268,0.026585657,0.011568833,0.19639865,0.020458184,0.13721567,0.7953583,0.43828347,1.0127492,0.56586105
tcp.srcport,1.5118622,0.9366653,0.24393883,0.57305044,1.4849577,2.456149,0.36780217,0.038156167,0.35797068,0.3429309,1.4966692,0.63436365,1.2195433,1.0864986,0.422779
udp.port,0.0,0.0,0.0,0.0,0.0045569595,0.0,0.5275311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
udp.stream,0.01114772,0.0,0.051498663,0.0,6.857176,0.026568575,0.0,0.0,0.0,0.026279308,0.03590925,0.0,0.0,0.0,0.0
udp.time_delta,0.0,0.0,0.0,0.0,3.2204076e-05,0.0,1.5607356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
