feature,natural_global_shap,balanced_sample_global_shap,class_balanced_shap,minority_diagnostic_shap,natural_global_rank,balanced_sample_global_rank,class_balanced_rank,minority_diagnostic_rank
http.referer,1.1870457,1.1924525,0.73165244,0.0030950427,1,1,4,23
tcp.srcport,0.9416619,0.9133482,0.8782224,1.4119756,2,2,3,2
http.request.method,0.7506261,0.7506049,0.4051615,0.23027763,3,3,8,10
http.request.version,0.61446416,0.6829495,0.33156544,0.39563918,4,4,10,7
tcp.dstport,0.5795352,0.5633886,0.92053425,0.61553586,5,5,1,5
tcp.ack,0.49970305,0.48608628,0.9166416,0.0731911,6,6,2,11
mqtt.conack.flags,0.4137198,0.39751557,0.42520782,0.005754491,7,7,7,22
icmp.checksum,0.38571435,0.39586776,0.26956552,0.64362764,8,8,12,4
udp.stream,0.3126392,0.30223185,0.4672386,0.013284287,9,9,6,20
tcp.flags,0.18799628,0.18704225,0.21210375,0.26009807,10,10,13,9
icmp.seq_le,0.1745901,0.17151473,0.38352892,0.520534,11,12,9,6
tcp.seq,0.1459647,0.14166334,0.2704728,0.014180292,12,13,11,19
tcp.len,0.14489655,0.17219141,0.6781332,3.421178,13,11,5,1
tcp.ack_raw,0.13623585,0.12995268,0.19061749,0.02475284,14,14,14,16
tcp.checksum,0.10231635,0.10589089,0.1000195,0.025536027,15,15,18,15
mqtt.protoname,0.0960016,0.093443066,0.09774727,3.65998e-05,16,16,19,26
tcp.connection.rst,0.052760158,0.05265503,0.10548289,0.018035443,17,17,16,18
tcp.connection.syn,0.046406113,0.048314407,0.11647924,0.03125638,18,18,15,14
arp.opcode,0.036370885,0.03706723,0.022617904,0.037056595,19,19,24,13
dns.qry.name,0.025933813,0.027698625,0.052384775,0.00065683946,20,20,21,25
http.content_length,0.017252965,0.01738131,0.061157838,0.0,21,21,20,27
mqtt.topic,0.013513445,0.013462321,0.01398278,0.0,22,22,26,27
tcp.connection.fin,0.011029091,0.010246171,0.022634307,0.0,23,23,23,27
tcp.connection.synack,0.00964863,0.009627793,0.0150223905,0.0,24,24,25,27
arp.hw.size,0.007666095,0.007738453,0.0067455303,0.0064289095,25,25,28,21
tcp.flags.ack,0.0036443223,0.003533817,0.0042196964,0.001150054,26,28,29,24
udp.time_delta,0.0022514274,0.007554225,0.10405119,0.7803678,27,26,17,3
udp.port,0.00092464517,0.004162659,0.035472535,0.26376554,28,27,22,8
icmp.transmit_timestamp,0.0008149223,0.0016954645,0.009087672,0.06754869,29,29,27,12
http.response,0.00049684895,0.00048070357,0.00058475457,0.0,30,30,31,27
mqtt.hdrflags,0.00036369494,0.00036482277,0.00055766717,0.0,31,31,32,27
dns.qry.name.len,0.00018941735,0.00034233066,0.0026942615,0.019237883,32,32,30,17
mqtt.ver,0.0,0.0,0.0,0.0,33,33,33,27
mqtt.topic_len,0.0,0.0,0.0,0.0,33,33,33,27
mqtt.msgtype,0.0,0.0,0.0,0.0,33,33,33,27
mqtt.len,0.0,0.0,0.0,0.0,33,33,33,27
mqtt.conflags,0.0,0.0,0.0,0.0,33,33,33,27
mqtt.conflag.cleansess,0.0,0.0,0.0,0.0,33,33,33,27
dns.retransmit_request,0.0,0.0,0.0,0.0,33,33,33,27
dns.retransmission,0.0,0.0,0.0,0.0,33,33,33,27
dns.qry.qu,0.0,0.0,0.0,0.0,33,33,33,27
mqtt.proto_len,0.0,0.0,0.0,0.0,33,33,33,27
