method,feature_count,position,feature
Full_42,42,1,arp.opcode
Full_42,42,2,arp.hw.size
Full_42,42,3,icmp.checksum
Full_42,42,4,icmp.seq_le
Full_42,42,5,icmp.transmit_timestamp
Full_42,42,6,http.content_length
Full_42,42,7,http.request.method
Full_42,42,8,http.referer
Full_42,42,9,http.request.version
Full_42,42,10,http.response
Full_42,42,11,tcp.ack
Full_42,42,12,tcp.ack_raw
Full_42,42,13,tcp.checksum
Full_42,42,14,tcp.connection.fin
Full_42,42,15,tcp.connection.rst
Full_42,42,16,tcp.connection.syn
Full_42,42,17,tcp.connection.synack
Full_42,42,18,tcp.dstport
Full_42,42,19,tcp.flags
Full_42,42,20,tcp.flags.ack
Full_42,42,21,tcp.len
Full_42,42,22,tcp.seq
Full_42,42,23,tcp.srcport
Full_42,42,24,udp.port
Full_42,42,25,udp.stream
Full_42,42,26,udp.time_delta
Full_42,42,27,dns.qry.name
Full_42,42,28,dns.qry.name.len
Full_42,42,29,dns.qry.qu
Full_42,42,30,dns.retransmission
Full_42,42,31,dns.retransmit_request
Full_42,42,32,mqtt.conack.flags
Full_42,42,33,mqtt.conflag.cleansess
Full_42,42,34,mqtt.conflags
Full_42,42,35,mqtt.hdrflags
Full_42,42,36,mqtt.len
Full_42,42,37,mqtt.msgtype
Full_42,42,38,mqtt.proto_len
Full_42,42,39,mqtt.protoname
Full_42,42,40,mqtt.topic
Full_42,42,41,mqtt.topic_len
Full_42,42,42,mqtt.ver
Natural_Global_20,20,1,http.referer
Natural_Global_20,20,2,tcp.srcport
Natural_Global_20,20,3,http.request.method
Natural_Global_20,20,4,http.request.version
Natural_Global_20,20,5,tcp.dstport
Natural_Global_20,20,6,tcp.ack
Natural_Global_20,20,7,mqtt.conack.flags
Natural_Global_20,20,8,icmp.checksum
Natural_Global_20,20,9,udp.stream
Natural_Global_20,20,10,tcp.flags
Natural_Global_20,20,11,icmp.seq_le
Natural_Global_20,20,12,tcp.seq
Natural_Global_20,20,13,tcp.len
Natural_Global_20,20,14,tcp.ack_raw
Natural_Global_20,20,15,tcp.checksum
Natural_Global_20,20,16,mqtt.protoname
Natural_Global_20,20,17,tcp.connection.rst
Natural_Global_20,20,18,tcp.connection.syn
Natural_Global_20,20,19,arp.opcode
Natural_Global_20,20,20,dns.qry.name
Class_Balanced_15,15,1,tcp.dstport
Class_Balanced_15,15,2,tcp.ack
Class_Balanced_15,15,3,tcp.srcport
Class_Balanced_15,15,4,http.referer
Class_Balanced_15,15,5,tcp.len
Class_Balanced_15,15,6,udp.stream
Class_Balanced_15,15,7,mqtt.conack.flags
Class_Balanced_15,15,8,http.request.method
Class_Balanced_15,15,9,icmp.seq_le
Class_Balanced_15,15,10,http.request.version
Class_Balanced_15,15,11,tcp.seq
Class_Balanced_15,15,12,icmp.checksum
Class_Balanced_15,15,13,tcp.flags
Class_Balanced_15,15,14,tcp.ack_raw
Class_Balanced_15,15,15,tcp.connection.syn
CS_SHAP_19,19,1,tcp.connection.syn
CS_SHAP_19,19,2,udp.time_delta
CS_SHAP_19,19,3,udp.port
CS_SHAP_19,19,4,arp.opcode
CS_SHAP_19,19,5,icmp.transmit_timestamp
CS_SHAP_19,19,6,tcp.dstport
CS_SHAP_19,19,7,tcp.ack
CS_SHAP_19,19,8,tcp.srcport
CS_SHAP_19,19,9,http.referer
CS_SHAP_19,19,10,tcp.len
CS_SHAP_19,19,11,udp.stream
CS_SHAP_19,19,12,mqtt.conack.flags
CS_SHAP_19,19,13,http.request.method
CS_SHAP_19,19,14,icmp.seq_le
CS_SHAP_19,19,15,http.request.version
CS_SHAP_19,19,16,tcp.seq
CS_SHAP_19,19,17,icmp.checksum
CS_SHAP_19,19,18,tcp.flags
CS_SHAP_19,19,19,tcp.ack_raw
