fold,method,feature,importance,rank
1,Natural_Global,arp.hw.size,0.007841997,25
1,Natural_Global,arp.opcode,0.034934595,19
1,Natural_Global,dns.qry.name,0.02687655,20
1,Natural_Global,dns.qry.name.len,0.0001741357,32
1,Natural_Global,dns.qry.qu,0.0,33
1,Natural_Global,dns.retransmission,0.0,33
1,Natural_Global,dns.retransmit_request,0.0,33
1,Natural_Global,http.content_length,0.018708134,21
1,Natural_Global,http.referer,1.1679096,1
1,Natural_Global,http.request.method,0.72521526,3
1,Natural_Global,http.request.version,0.6072199,4
1,Natural_Global,http.response,0.0004923904,29
1,Natural_Global,icmp.checksum,0.37305352,8
1,Natural_Global,icmp.seq_le,0.16690904,11
1,Natural_Global,icmp.transmit_timestamp,0.0008302073,28
1,Natural_Global,mqtt.conack.flags,0.41474113,7
1,Natural_Global,mqtt.conflag.cleansess,0.0,33
1,Natural_Global,mqtt.conflags,0.0,33
1,Natural_Global,mqtt.hdrflags,0.00037353477,31
1,Natural_Global,mqtt.len,0.0,33
1,Natural_Global,mqtt.msgtype,0.0,33
1,Natural_Global,mqtt.proto_len,0.0,33
1,Natural_Global,mqtt.protoname,0.092432894,16
1,Natural_Global,mqtt.topic,0.013812438,22
1,Natural_Global,mqtt.topic_len,0.0,33
1,Natural_Global,mqtt.ver,0.0,33
1,Natural_Global,tcp.ack,0.4853649,6
1,Natural_Global,tcp.ack_raw,0.13869022,13
1,Natural_Global,tcp.checksum,0.10382354,15
1,Natural_Global,tcp.connection.fin,0.013511538,23
1,Natural_Global,tcp.connection.rst,0.052834935,17
1,Natural_Global,tcp.connection.syn,0.04715006,18
1,Natural_Global,tcp.connection.synack,0.007894421,24
1,Natural_Global,tcp.dstport,0.56286013,5
1,Natural_Global,tcp.flags,0.19878972,10
1,Natural_Global,tcp.flags.ack,0.0020003684,27
1,Natural_Global,tcp.len,0.13278487,14
1,Natural_Global,tcp.seq,0.15418978,12
1,Natural_Global,tcp.srcport,0.92210233,2
1,Natural_Global,udp.port,0.0004674197,30
1,Natural_Global,udp.stream,0.3025112,9
1,Natural_Global,udp.time_delta,0.0025146184,26
1,Class_Balanced,arp.hw.size,0.0070755286,28
1,Class_Balanced,arp.opcode,0.024231058,23
1,Class_Balanced,dns.qry.name,0.061334535,21
1,Class_Balanced,dns.qry.name.len,0.002506013,29
1,Class_Balanced,dns.qry.qu,0.0,33
1,Class_Balanced,dns.retransmission,0.0,33
1,Class_Balanced,dns.retransmit_request,0.0,33
1,Class_Balanced,http.content_length,0.06287993,20
1,Class_Balanced,http.referer,0.731212,4
1,Class_Balanced,http.request.method,0.40408424,8
1,Class_Balanced,http.request.version,0.328341,10
