outer_fold,method,feature_count,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,fingerprinting_recall,fingerprinting_f1,mitm_recall,mitm_f1,training_seconds,inference_seconds,milliseconds_per_record
1,Full_42,42,0.9767099291344852,0.9687331385955591,0.9766142327973409,0.9646294230787394,0.9746249868483191,0.80625,0.8745762711864408,1.0,1.0,48.668926670000474,0.6833755210000163,0.02720660566127941
1,Natural_Global_20,20,0.9765108686997372,0.9687515445177972,0.9764148676735607,0.9647975888005427,0.9744092028347541,0.8125,0.8783783783783784,1.0,1.0,35.17132555199987,0.680742375000591,0.027101774623799306
1,Class_Balanced_15,15,0.9746795127000557,0.9670412512383664,0.9746405507642378,0.9626581789105757,0.9724969343533811,0.8125,0.8783783783783784,1.0,1.0,33.3337234440005,0.6418057979999503,0.025551628234730086
1,CS_SHAP,18,0.9775857950473764,0.9696684625172156,0.9774821954671437,0.9655865596360204,0.9755920044885705,0.80625,0.8745762711864408,1.0,1.0,31.276619155000844,0.7275867790003758,0.028966748108940833
2,Full_42,42,0.9773867346126284,0.9695816847217797,0.977296221581725,0.9664812572205553,0.9753643778174488,0.825,0.8770764119601329,1.0,1.0,42.702015405000566,0.6806548480008132,0.027098289991273717
2,Natural_Global_20,20,0.9774663587865275,0.9698332434384821,0.9773755350028441,0.9665652189282806,0.9754498954709406,0.825,0.88,1.0,1.0,33.59061287700024,0.6901822939998965,0.027477597499796818
2,Class_Balanced_15,15,0.9763118082649892,0.968729000661549,0.9762759117894794,0.9652360625428755,0.9742907303662351,0.825,0.8770764119601329,1.0,1.0,35.33585969700016,0.636987388000307,0.025359797276865475
2,CS_SHAP,18,0.977625607134326,0.9701125785150688,0.9775259356961555,0.9668606819004467,0.9756346602370833,0.825,0.88,1.0,1.0,31.603420532999735,0.6529488819996914,0.02599525766381445
3,Full_42,42,0.9780635400907716,0.9700866583910535,0.9779385225671362,0.9672353035362957,0.9761146403471475,0.8260869565217391,0.8750000000000001,1.0,1.0,43.708298868000384,0.697967367000274,0.027787537502996812
3,Natural_Global_20,20,0.9780635400907716,0.9695371207438435,0.9779414372662143,0.9668887894830036,0.9761127859385706,0.8198757763975155,0.8655737704918032,1.0,1.0,32.0486192089993,0.6971974179996323,0.027756884226436514
3,Class_Balanced_15,15,0.9772672983517796,0.9688582295287418,0.9771919626572748,0.9655062595074358,0.9753219233960894,0.8136645962732919,0.8646864686468647,1.0,1.0,29.032557783999437,0.6257806260000507,0.024913632693687824
3,CS_SHAP,20,0.9791782785253603,0.9712989717528016,0.9790559803651683,0.9684551027563338,0.977337723262314,0.8260869565217391,0.8750000000000001,1.0,1.0,30.343463780000093,0.6524796839994451,0.02597657791223207
4,Full_42,42,0.9767488155432575,0.9682186632174012,0.9766462645703954,0.9670033324741015,0.9746787693259025,0.84375,0.8653846153846154,1.0,1.0,41.99134986399986,0.6791581779998523,0.027039780945170698
4,Natural_Global_20,20,0.9766691881992277,0.9681955464398314,0.9765726811390141,0.9673054019542199,0.9745915049230522,0.85,0.8662420382165604,1.0,1.0,32.26589654199961,0.6495817319992057,0.025862234024732478
4,Class_Balanced_15,15,0.9740812995182546,0.9659246537974567,0.974046935501861,0.964425377244727,0.9718699141855641,0.85,0.8690095846645367,1.0,1.0,28.79260194699964,0.621752215000015,0.02475423876259167
4,CS_SHAP,18,0.9768682565593024,0.9683972981661867,0.9767646149088802,0.967180435984968,0.974813046862432,0.84375,0.8653846153846154,1.0,1.0,30.198900743000195,0.6552243740006816,0.026086888322677134
5,Full_42,42,0.9779432257037066,0.9694189530834749,0.9778892332209255,0.9675502444582115,0.9759757340800987,0.83125,0.8636363636363638,1.0,1.0,40.83609442499983,0.6876078690002032,0.02737619417128651
5,Natural_Global_20,20,0.9779034120316917,0.9691599927345157,0.9778492219662882,0.9671361795278259,0.9759298256785923,0.825,0.8599348534201955,1.0,1.0,31.103531361999558,0.6533487140004581,0.02601221141061664
5,Class_Balanced_15,15,0.9767886292152725,0.9682365611780874,0.9767895866810052,0.9657842774661114,0.9747974234208828,0.825,0.8599348534201955,1.0,1.0,27.747800702999484,0.6208850719995098,0.02471971461557948
5,CS_SHAP,19,0.9780228530477366,0.9698210163908452,0.9779688051145994,0.9681229604842675,0.976066848913365,0.8375,0.8673139158576051,1.0,1.0,30.048376554999777,0.6453753590003544,0.02569476286978359
