method,feature,importance,rank,outer_fold,inner_fold
Natural_Global,arp.hw.size,0.0052761706,25,1,1
Natural_Global,arp.opcode,0.037901115,20,1,1
Natural_Global,dns.qry.name,0.028154831,21,1,1
Natural_Global,dns.qry.name.len,0.0,32,1,1
Natural_Global,dns.qry.qu,0.0,32,1,1
Natural_Global,dns.retransmission,0.0,32,1,1
Natural_Global,dns.retransmit_request,0.0,32,1,1
Natural_Global,http.content_length,0.014461938,22,1,1
Natural_Global,http.referer,1.1562877,1,1,1
Natural_Global,http.request.method,0.7101427,3,1,1
Natural_Global,http.request.version,0.5817768,4,1,1
Natural_Global,http.response,0.00088594743,29,1,1
Natural_Global,icmp.checksum,0.3500301,8,1,1
Natural_Global,icmp.seq_le,0.17686386,11,1,1
Natural_Global,icmp.transmit_timestamp,0.00060896866,30,1,1
Natural_Global,mqtt.conack.flags,0.4015943,7,1,1
Natural_Global,mqtt.conflag.cleansess,0.0,32,1,1
Natural_Global,mqtt.conflags,0.0,32,1,1
Natural_Global,mqtt.hdrflags,0.0005918337,31,1,1
Natural_Global,mqtt.len,0.0,32,1,1
Natural_Global,mqtt.msgtype,0.0,32,1,1
Natural_Global,mqtt.proto_len,0.0,32,1,1
Natural_Global,mqtt.protoname,0.076788634,16,1,1
Natural_Global,mqtt.topic,0.038190927,19,1,1
Natural_Global,mqtt.topic_len,0.0,32,1,1
Natural_Global,mqtt.ver,0.0,32,1,1
Natural_Global,tcp.ack,0.48209727,6,1,1
Natural_Global,tcp.ack_raw,0.14755738,12,1,1
Natural_Global,tcp.checksum,0.10939713,15,1,1
Natural_Global,tcp.connection.fin,0.0101219015,23,1,1
Natural_Global,tcp.connection.rst,0.043790974,18,1,1
Natural_Global,tcp.connection.syn,0.049029987,17,1,1
Natural_Global,tcp.connection.synack,0.007028141,24,1,1
Natural_Global,tcp.dstport,0.5733381,5,1,1
Natural_Global,tcp.flags,0.20981237,10,1,1
Natural_Global,tcp.flags.ack,0.0019655882,27,1,1
Natural_Global,tcp.len,0.12788147,13,1,1
Natural_Global,tcp.seq,0.1276987,14,1,1
Natural_Global,tcp.srcport,0.89232117,2,1,1
