selector,classifier,count,nunique,min,max
CS_SHAP_Union,Linear_Logistic_SGD_Scaled,5,5,1,5
CS_SHAP_Union,Random_Forest,5,5,1,5
CS_SHAP_Union,XGBoost,5,5,1,5
Class_Balanced_15,Linear_Logistic_SGD_Scaled,5,5,1,5
Class_Balanced_15,Random_Forest,5,5,1,5
Class_Balanced_15,XGBoost,5,5,1,5
Full_42,Linear_Logistic_SGD_Scaled,5,5,1,5
Full_42,Random_Forest,5,5,1,5
Full_42,XGBoost,5,5,1,5
Mutual_Information_19,Linear_Logistic_SGD_Scaled,5,5,1,5
Mutual_Information_19,Random_Forest,5,5,1,5
Mutual_Information_19,XGBoost,5,5,1,5
Natural_Global_20,Linear_Logistic_SGD_Scaled,5,5,1,5
Natural_Global_20,Random_Forest,5,5,1,5
Natural_Global_20,XGBoost,5,5,1,5
Random_Forest_Importance_19,Linear_Logistic_SGD_Scaled,5,5,1,5
Random_Forest_Importance_19,Random_Forest,5,5,1,5
Random_Forest_Importance_19,XGBoost,5,5,1,5
Stable_Balanced_Core,Linear_Logistic_SGD_Scaled,5,5,1,5
Stable_Balanced_Core,Random_Forest,5,5,1,5
Stable_Balanced_Core,XGBoost,5,5,1,5
Stable_Minority_Only,Linear_Logistic_SGD_Scaled,5,5,1,5
Stable_Minority_Only,Random_Forest,5,5,1,5
Stable_Minority_Only,XGBoost,5,5,1,5
