classifier,metric,reference,comparator,reference_mean,comparator_mean,mean_paired_difference,cohen_dz,exact_sign_flip_p,reference_wins,ties,reference_losses,holm_p_within_classifier_metric
XGBoost,accuracy,CS_SHAP_Union,Class_Balanced_15,0.9777685683014005,0.9758894086321768,0.0018791596692238732,2.692981401100506,0.0625,5,0,0,0.4375
XGBoost,accuracy,CS_SHAP_Union,Full_42,0.9777685683014005,0.9774500738248951,0.0003184944765052489,0.6181266454175249,0.375,3,0,2,0.625
XGBoost,accuracy,CS_SHAP_Union,Mutual_Information_19,0.9777685683014005,0.9753081451884247,0.0024604231129756737,3.7561825258888586,0.0625,5,0,0,0.4375
XGBoost,accuracy,CS_SHAP_Union,Natural_Global_20,0.9777685683014005,0.977410259835867,0.000358308465533308,0.7038529331096565,0.3125,4,0,1,0.625
XGBoost,accuracy,CS_SHAP_Union,Random_Forest_Importance_19,0.9777685683014005,0.9752683362716059,0.002500232029794458,3.53733912425714,0.0625,5,0,0,0.4375
XGBoost,accuracy,CS_SHAP_Union,Stable_Balanced_Core,0.9777685683014005,0.97600884330796,0.0017597249934404146,3.559268202326019,0.0625,5,0,0,0.4375
XGBoost,accuracy,CS_SHAP_Union,Stable_Minority_Only,0.9777685683014005,0.9414352576101976,0.036333310691202894,1.6831904925082668,0.0625,5,0,0,0.4375
XGBoost,macro_f1,CS_SHAP_Union,Class_Balanced_15,0.9697855246446029,0.9678244865278487,0.001961038116754277,4.715631315150761,0.0625,5,0,0,0.4375
XGBoost,macro_f1,CS_SHAP_Union,Full_42,0.9697855246446029,0.9692883102114866,0.0004972144331162776,1.185356629144835,0.125,4,0,1,0.4375
XGBoost,macro_f1,CS_SHAP_Union,Mutual_Information_19,0.9697855246446029,0.9672633817107382,0.0025221429338645905,5.276201289131247,0.0625,5,0,0,0.4375
XGBoost,macro_f1,CS_SHAP_Union,Natural_Global_20,0.9697855246446029,0.9692618356912434,0.000523688953359569,1.1942530892942587,0.0625,5,0,0,0.4375
XGBoost,macro_f1,CS_SHAP_Union,Random_Forest_Importance_19,0.9697855246446029,0.9672390698224035,0.002546454822199351,5.858184261713416,0.0625,5,0,0,0.4375
