metric,reference,comparator,n_outer_folds,reference_mean,comparator_mean,mean_paired_difference,median_paired_difference,paired_difference_sd,cohen_dz,exact_sign_flip_p,reference_wins,ties,reference_losses,holm_p_within_metric
accuracy,CS_SHAP,Class_Balanced_15,5,0.9778561580628203,0.9758257096100703,0.002030448452750089,0.001910980173580823,0.0007907627956806453,2.5677086274682286,0.0625,5,0,0,0.1875
accuracy,CS_SHAP,Full_42,5,0.9778561580628203,0.9773704490169699,0.000485709045850502,0.00023887252169763062,0.0004764145360562279,1.0195092909448447,0.0625,5,0,0,0.1875
accuracy,CS_SHAP,Natural_Global_20,5,0.9778561580628203,0.9773226735615911,0.0005334845012292755,0.00019906836007488327,0.0005134039028174088,1.0391126719171209,0.0625,5,0,0,0.1875
macro_f1,CS_SHAP,Class_Balanced_15,5,0.9698596654684236,0.9677579392808402,0.002101726187583308,0.0024407422240597665,0.000572702593487939,3.6698387810383992,0.0625,5,0,0,0.1875
macro_f1,CS_SHAP,Full_42,5,0.9698596654684236,0.9692078196018536,0.0006518458665699001,0.0005308937932891888,0.0004169631052288368,1.56331785329581,0.0625,5,0,0,0.1875
macro_f1,CS_SHAP,Natural_Global_20,5,0.9698596654684236,0.969095489574894,0.0007641758935296395,0.0006610236563295846,0.0006286329876189829,1.2156153249673396,0.0625,5,0,0,0.1875
balanced_accuracy,CS_SHAP,Class_Balanced_15,5,0.9672411481524072,0.9647220311343452,0.0025191170180622223,0.0027550587402409565,0.0005568914626880867,4.523533196042497,0.0625,5,0,0,0.1875
balanced_accuracy,CS_SHAP,Full_42,5,0.9672411481524072,0.9665799121535807,0.0006612359988266148,0.0005727160260560193,0.0004246138491446372,1.5572643241821733,0.0625,5,0,0,0.1875
balanced_accuracy,CS_SHAP,Natural_Global_20,5,0.9672411481524072,0.9665386357387746,0.0007025124136327054,0.000788970835477576,0.000649007956479062,1.0824403716772761,0.125,4,0,1,0.1875
mcc,CS_SHAP,Class_Balanced_15,5,0.9758888567527529,0.9737553851444305,0.0021334716083224237,0.002015799866224688,0.000860816655448691,2.4784274268141053,0.0625,5,0,0,0.1875
mcc,CS_SHAP,Full_42,5,0.9758888567527529,0.9753517016837833,0.0005371550689696081,0.0002702824196344489,0.0005214791581049721,1.030060474366035,0.0625,5,0,0,0.1875
mcc,CS_SHAP,Natural_Global_20,5,0.9758888567527529,0.975298642969182,0.0005902137835709587,0.00022154193937973243,0.0005611871043520761,1.0517237103165362,0.0625,5,0,0,0.1875
fingerprinting_recall,CS_SHAP,Class_Balanced_15,5,0.8277173913043478,0.8252329192546585,0.002484472049689468,0.0,0.009458158215447683,0.2626803224365253,0.75,2,1,2,1.0
fingerprinting_recall,CS_SHAP,Full_42,5,0.8277173913043478,0.8264673913043479,0.0012499999999999955,0.0,0.0027950849718747267,0.447213595499958,1.0,1,4,0,1.0
fingerprinting_recall,CS_SHAP,Natural_Global_20,5,0.8277173913043478,0.8264751552795031,0.001242236024844745,0.0,0.00814306463851972,0.1525514139932658,1.0,2,1,2,1.0
fingerprinting_f1,CS_SHAP,Class_Balanced_15,5,0.8724549604857323,0.8698171394140217,0.002637821071710644,0.002923588039867142,0.006367353842093743,0.41427273198991305,0.5,3,0,2,1.0
fingerprinting_f1,CS_SHAP,Full_42,5,0.8724549604857323,0.8711347324335105,0.0013202280522216947,0.0,0.0018273441669158688,0.722484617908586,0.5,2,3,0,1.0
fingerprinting_f1,CS_SHAP,Natural_Global_20,5,0.8724549604857323,0.8700258081013874,0.0024291523843447795,0.0,0.005678724585597474,0.4277637254156783,0.5,2,1,2,1.0
training_seconds,CS_SHAP,Class_Balanced_15,5,30.69415615320013,30.848508714999845,-0.15435256179971618,1.3109059960006526,2.599637315420377,-0.0593746523348225,0.875,3,0,2,0.875
training_seconds,CS_SHAP,Full_42,5,30.69415615320013,43.58133704640022,-12.887180893200096,-11.792449120999663,2.7078377906706272,-4.759214505979857,0.0625,0,0,5,0.1875
training_seconds,CS_SHAP,Natural_Global_20,5,30.69415615320013,32.83599710839972,-2.141840955199588,-1.9871923440005084,1.057548613644948,-2.0252884147022967,0.0625,0,0,5,0.1875
milliseconds_per_record,CS_SHAP,Class_Balanced_15,5,0.02654404697548956,0.025059802316690843,0.0014842446587987209,0.0010629452185441993,0.0011077532564155296,1.3398693709115719,0.0625,5,0,0,0.1875
milliseconds_per_record,CS_SHAP,Full_42,5,0.02654404697548956,0.0273016816544014,-0.00075763467891184,-0.0011030323274592996,0.001454262736671931,-0.5209751029210039,0.3125,1,0,4,0.625
milliseconds_per_record,CS_SHAP,Natural_Global_20,5,0.02654404697548956,0.02684214035707632,-0.00029809338158676005,-0.0003174485408330985,0.0014621809798166683,-0.20386900506949263,0.75,2,0,3,0.75
