metric,reference,comparator,reference_mean,comparator_mean,mean_paired_difference,cohen_dz,exact_sign_flip_p,reference_wins,ties,reference_losses
accuracy,CS_SHAP_Union,Full_Controlled,0.9881019830028329,0.9885214643713228,-0.00041948136848988236,-1.316672218508975,0.125,1,0,4
accuracy,CS_SHAP_Union,Mutual_Information_Matched,0.9881019830028329,0.9881019830028329,0.0,0.0,1.0,2,0,3
accuracy,CS_SHAP_Union,Natural_Global_Stable,0.9881019830028329,0.9883253432120288,-0.0002233602091957998,-0.39239390816083025,0.375,1,0,4
accuracy,CS_SHAP_Union,Random_Forest_Importance_Matched,0.9881019830028329,0.9879712355633036,0.00013074743952927735,0.8330521614003985,0.25,3,2,0
accuracy,CS_SHAP_Union,Stable_Balanced_Core,0.9881019830028329,0.9879439965134017,0.00015798648943128325,0.447213595499958,1.0,1,4,0
accuracy,CS_SHAP_Union,Stable_Minority_Only,0.9881019830028329,0.988047504903029,5.447809980394513e-05,0.35634832255039944,0.5,3,0,2
macro_f1,CS_SHAP_Union,Full_Controlled,0.9664650471943605,0.9667043372020672,-0.0002392900077064386,-0.22314896699995249,0.625,2,0,3
macro_f1,CS_SHAP_Union,Mutual_Information_Matched,0.9664650471943605,0.9662780676819513,0.0001869795124091578,0.1919265660330576,0.875,2,0,3
macro_f1,CS_SHAP_Union,Natural_Global_Stable,0.9664650471943605,0.9660712500875309,0.000393797106829763,0.22084121044783897,0.9375,2,0,3
macro_f1,CS_SHAP_Union,Random_Forest_Importance_Matched,0.9664650471943605,0.9660309020238813,0.000434145170479372,0.27088478907939945,0.875,2,0,3
macro_f1,CS_SHAP_Union,Stable_Balanced_Core,0.9664650471943605,0.965761130559909,0.0007039166344517067,0.44721359549995787,1.0,1,4,0
macro_f1,CS_SHAP_Union,Stable_Minority_Only,0.9664650471943605,0.9659139807030754,0.0005510664912852459,1.1771252383993764,0.125,4,0,1
balanced_accuracy,CS_SHAP_Union,Full_Controlled,0.9716606960210505,0.9723937437395808,-0.0007330477185301998,-0.9798139659934285,0.1875,1,0,4
balanced_accuracy,CS_SHAP_Union,Mutual_Information_Matched,0.9716606960210505,0.9713812262755301,0.0002794697455203998,0.2553037572161781,0.625,2,0,3
balanced_accuracy,CS_SHAP_Union,Natural_Global_Stable,0.9716606960210505,0.9709163043932107,0.0007443916278396578,0.39682468075410765,0.5625,3,0,2
balanced_accuracy,CS_SHAP_Union,Random_Forest_Importance_Matched,0.9716606960210505,0.9710983123113349,0.000562383709715597,0.2761025981266766,0.4375,4,0,1
balanced_accuracy,CS_SHAP_Union,Stable_Balanced_Core,0.9716606960210505,0.9708746547434032,0.0007860412776475201,0.447213595499958,1.0,1,4,0
balanced_accuracy,CS_SHAP_Union,Stable_Minority_Only,0.9716606960210505,0.9707219222332878,0.0009387737877628588,1.57993096170617,0.0625,5,0,0
mcc,CS_SHAP_Union,Full_Controlled,0.9863769767975048,0.9868576761055665,-0.0004806993080616939,-1.3164109041808025,0.125,1,0,4
mcc,CS_SHAP_Union,Mutual_Information_Matched,0.9863769767975048,0.9863769748456186,1.95188636364918e-09,5.671744368949789e-06,1.0,2,0,3
mcc,CS_SHAP_Union,Natural_Global_Stable,0.9863769767975048,0.9866327258908806,-0.0002557490933757789,-0.39233375267066456,0.375,1,0,4
mcc,CS_SHAP_Union,Random_Forest_Importance_Matched,0.9863769767975048,0.9862272682725115,0.00014970852499351928,0.837110869066879,0.0625,5,0,0
mcc,CS_SHAP_Union,Stable_Balanced_Core,0.9863769767975048,0.9861960504844591,0.00018092631304573726,0.4472135954999579,1.0,1,4,0
mcc,CS_SHAP_Union,Stable_Minority_Only,0.9863769767975048,0.9863143478173818,6.262898012319163e-05,0.357474616548053,0.5,3,0,2
