outer_fold,selector,rank,feature,importance
1,Mutual_Information_Matched,1,src_ip_bytes,1.7922077344863776
1,Mutual_Information_Matched,2,dst_port,1.3235826760765765
1,Mutual_Information_Matched,3,dst_ip_bytes,1.2471223702410057
1,Mutual_Information_Matched,4,src_port,1.0689461223807863
1,Mutual_Information_Matched,5,conn_state,1.0563579547625168
1,Mutual_Information_Matched,6,duration,0.9736767106698219
1,Mutual_Information_Matched,7,src_bytes,0.8063141457999947
1,Mutual_Information_Matched,8,dst_bytes,0.7486307953039497
1,Mutual_Information_Matched,9,src_pkts,0.6754138308060158
1,Mutual_Information_Matched,10,dst_pkts,0.6678928985542267
1,Mutual_Information_Matched,11,service,0.5080850290859522
1,Mutual_Information_Matched,12,proto,0.246936822872462
1,Mutual_Information_Matched,13,dns_rejected,0.23868319681561223
1,Mutual_Information_Matched,14,dns_RA,0.21009781303764008
1,Mutual_Information_Matched,15,dns_qtype,0.19264193608519564
1,Mutual_Information_Matched,16,dns_RD,0.18590017452445906
1,Mutual_Information_Matched,17,dns_AA,0.17485029080019077
1,Mutual_Information_Matched,18,dns_qclass,0.17149339932924557
1,Mutual_Information_Matched,19,dns_rcode,0.05401789015636638
1,Mutual_Information_Matched,20,missed_bytes,0.023644559681191613
1,Mutual_Information_Matched,21,ssl_resumed,0.008125655523117725
1,Mutual_Information_Matched,22,ssl_cipher,0.00784485596984208
1,Mutual_Information_Matched,23,ssl_established,0.007742832976072922
1,Mutual_Information_Matched,24,http_version,0.00736301001325268
1,Mutual_Information_Matched,25,ssl_version,0.006632730397114095
1,Mutual_Information_Matched,26,weird_name,0.005590248615158888
1,Mutual_Information_Matched,27,weird_notice,0.005567584841046802
1,Mutual_Information_Matched,28,http_response_body_len,0.005345218908996863
1,Mutual_Information_Matched,29,http_method,0.00515139379172691
1,Mutual_Information_Matched,30,http_trans_depth,0.004246924520445283
1,Mutual_Information_Matched,31,http_orig_mime_types,0.0034456789774388596
1,Mutual_Information_Matched,32,http_status_code,0.002289911701888414
1,Mutual_Information_Matched,33,http_request_body_len,0.001145036695715529
1,Mutual_Information_Matched,34,http_resp_mime_types,0.0007819423902177824
1,Random_Forest_Importance_Matched,1,src_ip_bytes,0.16467107236824044
1,Random_Forest_Importance_Matched,2,dst_port,0.11218275163799
1,Random_Forest_Importance_Matched,3,src_port,0.10784566242669176
1,Random_Forest_Importance_Matched,4,duration,0.10223024697701232
1,Random_Forest_Importance_Matched,5,conn_state,0.09536792164882445
1,Random_Forest_Importance_Matched,6,dst_ip_bytes,0.07862591321237014
1,Random_Forest_Importance_Matched,7,src_bytes,0.07069034869471473
1,Random_Forest_Importance_Matched,8,src_pkts,0.0621320123508071
1,Random_Forest_Importance_Matched,9,dst_pkts,0.05033061265073666
1,Random_Forest_Importance_Matched,10,dst_bytes,0.04330165475300388
1,Random_Forest_Importance_Matched,11,service,0.029272960663618258
1,Random_Forest_Importance_Matched,12,dns_rejected,0.019068583225918985
1,Random_Forest_Importance_Matched,13,proto,0.01652293870871787
1,Random_Forest_Importance_Matched,14,dns_RA,0.013050219805578918
1,Random_Forest_Importance_Matched,15,dns_AA,0.008196966660791108
1,Random_Forest_Importance_Matched,16,dns_qtype,0.006806718403480844
1,Random_Forest_Importance_Matched,17,dns_RD,0.006628138192422305
1,Random_Forest_Importance_Matched,18,dns_qclass,0.005018957763412484
1,Random_Forest_Importance_Matched,19,dns_rcode,0.0042482697900409925
1,Random_Forest_Importance_Matched,20,missed_bytes,0.0017997483646891212
1,Random_Forest_Importance_Matched,21,ssl_cipher,0.0003117235913662446
1,Random_Forest_Importance_Matched,22,ssl_established,0.00030047968504238684
1,Random_Forest_Importance_Matched,23,ssl_version,0.00028597019328747226
1,Random_Forest_Importance_Matched,24,ssl_resumed,0.00025320231794850634
1,Random_Forest_Importance_Matched,25,http_trans_depth,0.00013172750161208457
1,Random_Forest_Importance_Matched,26,weird_name,0.0001186584596197678
