outer_fold,selector,position,feature,feature_count,minority_classes
1,Full_Controlled,1,src_port,34,mitm
1,Full_Controlled,2,dst_port,34,mitm
1,Full_Controlled,3,proto,34,mitm
1,Full_Controlled,4,service,34,mitm
1,Full_Controlled,5,duration,34,mitm
1,Full_Controlled,6,src_bytes,34,mitm
1,Full_Controlled,7,dst_bytes,34,mitm
1,Full_Controlled,8,conn_state,34,mitm
1,Full_Controlled,9,missed_bytes,34,mitm
1,Full_Controlled,10,src_pkts,34,mitm
1,Full_Controlled,11,src_ip_bytes,34,mitm
1,Full_Controlled,12,dst_pkts,34,mitm
1,Full_Controlled,13,dst_ip_bytes,34,mitm
1,Full_Controlled,14,dns_qclass,34,mitm
1,Full_Controlled,15,dns_qtype,34,mitm
1,Full_Controlled,16,dns_rcode,34,mitm
1,Full_Controlled,17,dns_AA,34,mitm
1,Full_Controlled,18,dns_RD,34,mitm
1,Full_Controlled,19,dns_RA,34,mitm
1,Full_Controlled,20,dns_rejected,34,mitm
1,Full_Controlled,21,ssl_version,34,mitm
1,Full_Controlled,22,ssl_cipher,34,mitm
1,Full_Controlled,23,ssl_resumed,34,mitm
1,Full_Controlled,24,ssl_established,34,mitm
1,Full_Controlled,25,http_trans_depth,34,mitm
1,Full_Controlled,26,http_method,34,mitm
1,Full_Controlled,27,http_version,34,mitm
1,Full_Controlled,28,http_request_body_len,34,mitm
1,Full_Controlled,29,http_response_body_len,34,mitm
1,Full_Controlled,30,http_status_code,34,mitm
1,Full_Controlled,31,http_orig_mime_types,34,mitm
1,Full_Controlled,32,http_resp_mime_types,34,mitm
1,Full_Controlled,33,weird_name,34,mitm
1,Full_Controlled,34,weird_notice,34,mitm
1,Natural_Global_Stable,1,conn_state,15,mitm
1,Natural_Global_Stable,2,dns_RA,15,mitm
1,Natural_Global_Stable,3,dns_RD,15,mitm
1,Natural_Global_Stable,4,dns_rejected,15,mitm
1,Natural_Global_Stable,5,dst_bytes,15,mitm
1,Natural_Global_Stable,6,dst_ip_bytes,15,mitm
1,Natural_Global_Stable,7,dst_pkts,15,mitm
1,Natural_Global_Stable,8,dst_port,15,mitm
1,Natural_Global_Stable,9,duration,15,mitm
1,Natural_Global_Stable,10,proto,15,mitm
1,Natural_Global_Stable,11,service,15,mitm
1,Natural_Global_Stable,12,src_bytes,15,mitm
1,Natural_Global_Stable,13,src_ip_bytes,15,mitm
1,Natural_Global_Stable,14,src_pkts,15,mitm
1,Natural_Global_Stable,15,src_port,15,mitm
1,Stable_Balanced_Core,1,conn_state,15,mitm
1,Stable_Balanced_Core,2,dns_RA,15,mitm
1,Stable_Balanced_Core,3,dns_rcode,15,mitm
1,Stable_Balanced_Core,4,dns_rejected,15,mitm
1,Stable_Balanced_Core,5,dst_bytes,15,mitm
1,Stable_Balanced_Core,6,dst_ip_bytes,15,mitm
1,Stable_Balanced_Core,7,dst_pkts,15,mitm
1,Stable_Balanced_Core,8,dst_port,15,mitm
1,Stable_Balanced_Core,9,duration,15,mitm
1,Stable_Balanced_Core,10,proto,15,mitm
1,Stable_Balanced_Core,11,service,15,mitm
1,Stable_Balanced_Core,12,src_bytes,15,mitm
1,Stable_Balanced_Core,13,src_ip_bytes,15,mitm
1,Stable_Balanced_Core,14,src_pkts,15,mitm
1,Stable_Balanced_Core,15,src_port,15,mitm
1,Stable_Minority_Only,1,conn_state,13,mitm
1,Stable_Minority_Only,2,dns_RA,13,mitm
1,Stable_Minority_Only,3,dst_bytes,13,mitm
1,Stable_Minority_Only,4,dst_ip_bytes,13,mitm
1,Stable_Minority_Only,5,dst_pkts,13,mitm
1,Stable_Minority_Only,6,dst_port,13,mitm
1,Stable_Minority_Only,7,duration,13,mitm
1,Stable_Minority_Only,8,proto,13,mitm
1,Stable_Minority_Only,9,service,13,mitm
1,Stable_Minority_Only,10,src_bytes,13,mitm
1,Stable_Minority_Only,11,src_ip_bytes,13,mitm
1,Stable_Minority_Only,12,src_pkts,13,mitm
1,Stable_Minority_Only,13,src_port,13,mitm
1,CS_SHAP_Union,1,conn_state,15,mitm
1,CS_SHAP_Union,2,dns_RA,15,mitm
1,CS_SHAP_Union,3,dns_rcode,15,mitm
1,CS_SHAP_Union,4,dns_rejected,15,mitm
1,CS_SHAP_Union,5,dst_bytes,15,mitm
1,CS_SHAP_Union,6,dst_ip_bytes,15,mitm
1,CS_SHAP_Union,7,dst_pkts,15,mitm
1,CS_SHAP_Union,8,dst_port,15,mitm
1,CS_SHAP_Union,9,duration,15,mitm
1,CS_SHAP_Union,10,proto,15,mitm
1,CS_SHAP_Union,11,service,15,mitm
1,CS_SHAP_Union,12,src_bytes,15,mitm
1,CS_SHAP_Union,13,src_ip_bytes,15,mitm
1,CS_SHAP_Union,14,src_pkts,15,mitm
1,CS_SHAP_Union,15,src_port,15,mitm
1,Mutual_Information_Matched,1,src_ip_bytes,15,mitm
1,Mutual_Information_Matched,2,dst_port,15,mitm
1,Mutual_Information_Matched,3,dst_ip_bytes,15,mitm
1,Mutual_Information_Matched,4,src_port,15,mitm
1,Mutual_Information_Matched,5,conn_state,15,mitm
1,Mutual_Information_Matched,6,duration,15,mitm
1,Mutual_Information_Matched,7,src_bytes,15,mitm
1,Mutual_Information_Matched,8,dst_bytes,15,mitm
1,Mutual_Information_Matched,9,src_pkts,15,mitm
1,Mutual_Information_Matched,10,dst_pkts,15,mitm
1,Mutual_Information_Matched,11,service,15,mitm
1,Mutual_Information_Matched,12,proto,15,mitm
1,Mutual_Information_Matched,13,dns_rejected,15,mitm
1,Mutual_Information_Matched,14,dns_RA,15,mitm
1,Mutual_Information_Matched,15,dns_qtype,15,mitm
1,Random_Forest_Importance_Matched,1,src_ip_bytes,15,mitm
1,Random_Forest_Importance_Matched,2,dst_port,15,mitm
1,Random_Forest_Importance_Matched,3,src_port,15,mitm
1,Random_Forest_Importance_Matched,4,duration,15,mitm
1,Random_Forest_Importance_Matched,5,conn_state,15,mitm
1,Random_Forest_Importance_Matched,6,dst_ip_bytes,15,mitm
1,Random_Forest_Importance_Matched,7,src_bytes,15,mitm
1,Random_Forest_Importance_Matched,8,src_pkts,15,mitm
1,Random_Forest_Importance_Matched,9,dst_pkts,15,mitm
1,Random_Forest_Importance_Matched,10,dst_bytes,15,mitm
1,Random_Forest_Importance_Matched,11,service,15,mitm
1,Random_Forest_Importance_Matched,12,dns_rejected,15,mitm
1,Random_Forest_Importance_Matched,13,proto,15,mitm
1,Random_Forest_Importance_Matched,14,dns_RA,15,mitm
1,Random_Forest_Importance_Matched,15,dns_AA,15,mitm
2,Full_Controlled,1,src_port,34,mitm
2,Full_Controlled,2,dst_port,34,mitm
2,Full_Controlled,3,proto,34,mitm
2,Full_Controlled,4,service,34,mitm
2,Full_Controlled,5,duration,34,mitm
2,Full_Controlled,6,src_bytes,34,mitm
2,Full_Controlled,7,dst_bytes,34,mitm
2,Full_Controlled,8,conn_state,34,mitm
2,Full_Controlled,9,missed_bytes,34,mitm
2,Full_Controlled,10,src_pkts,34,mitm
2,Full_Controlled,11,src_ip_bytes,34,mitm
2,Full_Controlled,12,dst_pkts,34,mitm
2,Full_Controlled,13,dst_ip_bytes,34,mitm
2,Full_Controlled,14,dns_qclass,34,mitm
2,Full_Controlled,15,dns_qtype,34,mitm
2,Full_Controlled,16,dns_rcode,34,mitm
2,Full_Controlled,17,dns_AA,34,mitm
2,Full_Controlled,18,dns_RD,34,mitm
2,Full_Controlled,19,dns_RA,34,mitm
2,Full_Controlled,20,dns_rejected,34,mitm
2,Full_Controlled,21,ssl_version,34,mitm
2,Full_Controlled,22,ssl_cipher,34,mitm
2,Full_Controlled,23,ssl_resumed,34,mitm
2,Full_Controlled,24,ssl_established,34,mitm
2,Full_Controlled,25,http_trans_depth,34,mitm
2,Full_Controlled,26,http_method,34,mitm
2,Full_Controlled,27,http_version,34,mitm
2,Full_Controlled,28,http_request_body_len,34,mitm
2,Full_Controlled,29,http_response_body_len,34,mitm
2,Full_Controlled,30,http_status_code,34,mitm
